learning_rate,augmentation,model_size,label_smoothing,experiment_name,config_name,mean_val_accuracy,std_val_accuracy,mean_val_macro_f1_present_classes,std_val_macro_f1_present_classes,mean_val_macro_f1_all_classes,std_val_macro_f1_all_classes,overall_pooled_accuracy,overall_pooled_macro_f1,median_best_epoch,mean_best_epoch
0.001,mild,current,0.05,stage_learning_rate,lr_0p001__aug_mild__model_current__ls_0p05,0.9844038180477299,0.021839100878792886,0.9826292265992663,0.02665395811973591,0.9350973933531473,0.07261149222867241,0.9813293502613891,0.9797300950809104,17,18.666666666666668
0.0005,mild,current,0.05,stage_learning_rate,lr_0p0005__aug_mild__model_current__ls_0p05,0.9844038180477299,0.021839100878792886,0.9841864126847598,0.0243905613156129,0.9366545794386408,0.07334127439282158,0.9813293502613891,0.9820923770037168,16,14.666666666666666
0.0003,mild,current,0.05,stage_learning_rate,lr_0p0003__aug_mild__model_current__ls_0p05,0.9777651387313132,0.026937365325425996,0.9718062319480719,0.033682899760703475,0.9242743987019529,0.06444550198084338,0.9731142643764003,0.9696305371504206,22,18.0
0.0001,mild,current,0.05,stage_learning_rate,lr_0p0001__aug_mild__model_current__ls_0p05,0.946607149147603,0.07199665452121089,0.9434481287836539,0.07538798911739682,0.8963786581508456,0.07729202376750763,0.9357729648991785,0.9350929291095565,16,16.666666666666668
0.0005,none,current,0.05,stage_augmentation,lr_0p0005__aug_none__model_current__ls_0p05,0.9902108605698737,0.0070811180971472095,0.9904681694695535,0.007162698304091886,0.9429363362234345,0.07570401272872126,0.9887976101568334,0.9886604807467414,19,18.0
0.0005,mild,current,0.05,stage_augmentation,lr_0p0005__aug_mild__model_current__ls_0p05,0.9844038180477299,0.021839100878792886,0.9841864126847598,0.0243905613156129,0.9366545794386408,0.07334127439282158,0.9813293502613891,0.9820923770037168,16,14.666666666666666
0.0005,medium,current,0.05,stage_augmentation,lr_0p0005__aug_medium__model_current__ls_0p05,0.9866303869582635,0.011750955370092436,0.9861531585731392,0.012816074087858577,0.9386213253270203,0.07231005404582252,0.9843166542195668,0.9836601354704276,14,17.0
0.0005,none,small,0.05,stage_model_size,lr_0p0005__aug_none__model_small__ls_0p05,0.9660124567186887,0.023113824467096106,0.965542830814825,0.02353328897139911,0.9191434234958772,0.07603526148725553,0.9634055265123226,0.9631930480464076,14,14.333333333333334
0.0005,none,current,0.05,stage_model_size,lr_0p0005__aug_none__model_current__ls_0p05,0.9902108605698737,0.0070811180971472095,0.9904681694695535,0.007162698304091886,0.9429363362234345,0.07570401272872126,0.9887976101568334,0.9886604807467414,19,18.0
0.0005,none,compact,0.05,stage_model_size,lr_0p0005__aug_none__model_compact__ls_0p05,0.983479926844554,0.013343985916928923,0.9841155309103717,0.014370304362423666,0.9367770036956001,0.07422988376044222,0.9813293502613891,0.9820337900740628,22,23.0
0.0005,none,current,0.0,stage_label_smoothing,lr_0p0005__aug_none__model_current__ls_0p0,0.9919839102152638,0.004163182421662845,0.9935766949596537,0.003977728806507446,0.9460448617135347,0.07835098830521112,0.9910380881254668,0.9920887329680305,16,21.666666666666668
0.0005,none,current,0.03,stage_label_smoothing,lr_0p0005__aug_none__model_current__ls_0p03,0.9895854697005803,0.006857809715109296,0.9885634989646076,0.00879910043727419,0.9410316657184886,0.07406497162795998,0.988050784167289,0.9872552303108625,19,22.666666666666668
0.0005,none,current,0.05,stage_label_smoothing,lr_0p0005__aug_none__model_current__ls_0p05,0.9902108605698737,0.0070811180971472095,0.9904681694695535,0.007162698304091886,0.9429363362234345,0.07570401272872126,0.9887976101568334,0.9886604807467414,19,18.0
0.0005,none,current,0.1,stage_label_smoothing,lr_0p0005__aug_none__model_current__ls_0p1,0.992643675405387,0.005916334137774,0.9936468721963001,0.00583894725104774,0.9461150389501811,0.07853123776609904,0.9917849141150112,0.9923287596132602,19,17.666666666666668
