accuracy,loss
0.620612382888794,1.2724180221557617
0.8267363905906677,0.8777327537536621
0.8700522780418396,0.7612905502319336
0.9275578856468201,0.6457229852676392
0.9260642528533936,0.6514064073562622
0.9551904201507568,0.6135960221290588
0.9656460285186768,0.5916478037834167
0.9768484234809875,0.571296215057373
0.9738610982894897,0.5852822065353394
0.9731142520904541,0.5898035168647766
0.9790888428688049,0.569077730178833
0.9753547310829163,0.5718324184417725
0.9820761680603027,0.5681461095809937
0.9843166470527649,0.548327624797821
0.9895444512367249,0.535946786403656
0.9835698008537292,0.5542911887168884
0.9887976050376892,0.5412331819534302
0.9925317168235779,0.5379214882850647
0.9895444512367249,0.5404224991798401
